Nom_site;Typologie_intervention_ADEME;Commune;Code_INSEE;Activites_historiques_site;Description_activites;Surface_site_m2;Superficie_bati_m2;Arrete_Prefectoral_Travaux_Office;Numeros_parcelles_cadastrales;Resume_intervention_ADEME;Liens_vers_BASOL_BASIAS;Usage_actuel_site;Region;Departement;CoordXLambert2Etendue;CoordYLambert2Etendue;Etat_operation;fiches_export
METAL AQUITAINE ET FUMEL;non renseigné;Fumel;47106;non renseigné;La Fonderie a été créée en 1847 sous le nom de SMP, Société métallurgique du Périgord, à  Fumel (47) en bord du Lot, en raison de la présence et de l'exploitation à  ciel ouvert de minerai de fer à  moins de 20 km, et de la présence du Lot pour transporter les matières premières et produits finis, pour refroidir les machines et pour construire un barrage en vue de produire sa propre électricité avec la force hydraulique que le Lot représente. L'usine est tout d'abord destinée à  fabriquer les coussinets de voie ferrée (pièce qui fixe le rail au sol) avec de la fonte de première fusion. Au début du XXème siècle, surnommée Â« l'usine des tuyaux Â» en raison de la fabrication de conduite d'eau potable en fonte, elle se diversifie et fabrique des plaques d'égout, des candélabres, des haltères ou des bornes fontaines. Durant la première guerre mondiale, l'usine fabrique 2500 obus chaque jour pour soutenir l'effort de guerre. à€ la sortie de la guerre, l'usine se spécialisera dans la fabrication de tuyaux, de plaques de fonte et de robinetterie ainsi que de nombreuses pièces pour l'automobile.;non renseigné;non renseigné;La mission de l'ADEME est encadrée par l'arrêté préfectoral de travaux d'office en date du 09 mars 2020 qui confie à  l'agence le retrait et élimination de déchets industriels présentant un risque de pollution.;;La fonderie a été créée en 1847 sous le nom de SMP (Société Métallurgique du Périgord) à  Fumel en bordure du Lot. L'usine est tout d'abord destinée à  fabriquer les coussinets de voie ferrée (pièce qui fixe le rail au sol) avec de la fonte de première fusion puis fabriquera des conduites d'eau potable en fonte, plaques d'égouts, candélabres, haltères, robinetterie, pièces pour l'automobile â€¦ Durant la première guerre mondiale, l'usine fabrique 2500 obus chaque jour pour soutenir l'effort de guerre. METAL AQUITAINE qui succédait à  METAL TEMPLE AQUITAINE a été placée en liquidation judiciaire le 06 juin 2018 et les actions de l'administration à  l'encontre des responsables ne permettent pas s'assurer la phase de mise en sécurité du site. En accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de cette mise en sécurité. La mise en sécurité de ce site est en cours de réalisation.;;non renseigné;Nouvelle-Aquitaine;47;490163,8;1943960,8;En cours;
METALEUROP;Travaux, Dépollution et Maîtrise des transferts;Noyelles Godault;62624;Fonderie, Métallurgie, Forge;Usine de 30ha ayant cessé son activité de métallurgie des métaux non ferreux début 2003 , suite à  une liquidation judiciaire. L'origine de l'usine remonte à  1894 avec l'activité de Production de Plomb brut et de zinc par procédé thermique de 1ère fusion. Sous l'action de l'Inspection des installations classées, les rejets atmosphériques ont diminué de manière drastique (de 350 tonnes de Plomb canalisées en 1970 à  une quinzaine de tonnes en 2002), pollution historique des sols et contamination des végétaux . Des Décharges internes de scories et d'arséniates de chaux étaient présentes sur le site. Une pollution historique des sols autour de l'usine par du plomb est constatée, du cadmium et du Zinc.;579000;0;La mission de l'ADEME est encadrée par de nombreux arrêté préfectoraux de travaux d'office qui ont confié à  l'agence, à  partir de 2003, diverses missions dont l'étude de solutions de gestion des terres impactées au sein du périmètre d'intérêt général et leur stockage dans alvéole de SITA AGORA, la reprise des terres décapées et matériaux de démolition des riverains concernés et l'apport de terres végétales le cas échéant, acquisition de parcelles impactées pour boisement et entretien, le rachat et élimination des produits agricoles et denrées animales, le nettoyage de cours d'école et l'analyse de poussières ...;;Usine de 30ha ayant cessé son activité de métallurgie des métaux non ferreux début 2003 suite à  une liquidation judiciaire. L'origine de l'usine remonte à  1894 avec l'activité de Production de Plomb brut et de zinc par procédé thermique de 1ère fusion. Une pollution historique des sols autour de l'usine par du plomb a été constatée, du cadmium et du Zinc. En accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de diverses missions de mise en sécurité au regard des impacts générés par cet ancien site industriel. Dans ce cadre, l'ADEME a soutenu diverses opérations dont le décapage de terres impactées et leur remplacement par des terres végétales, le reboisement de parcelles agricoles impactées, le soutien de d'exploitations agricoles ne pouvant pas vendre leurs produits via les filières alimentaires classiques ... Des actions sont toujours en cours sur ce site.;;Non renseigné;Hauts-de-France;62;648459,5;2604085,2;En cours;
MG INDUSTRIES;Gestion et élimination de déchets;La Roche-de-Rame;5122;Substances composés chimiques (Extraction, Synthèse);Ce site accueillait l'usine Pechiney Electro Metallurgie (PEM) devenu Rio Tinto Alcan qui fabriquait essentiellement des métaux alcalino-terreux: calcium et strontium, par calcination nécessitant un vide poussé dans les fours. Diverses sociétés se sont succédées au fil des années pour produire ces métaux. La société MG INDUSTRIES s'est portée acquéreur de l'outil de production (fours), des bâtiments et du stock de calcium restant puis a été placé en liquidation judiciaire le 25 mai 2012.;34000;17000;La mission de l'ADEME était encadrée par divers arrêtés préfectoraux de travaux d'office pris en date du 21 décembre 2012, du 22 mars 2013 et du 20 février 2014 qui chargeaient l'agence de la caractérisation des déchets, de la surveillance du site (limitation des intrusions), de l'évacuation et élimination des déchets inflammables et des déchets industriels, de la condamnation de certains accès.;000E1179 à  000E1182- 000E1094- 000E862- 000E864;Diverses sociétés se sont succédées au fil des années pour produire des métaux alcalino-terreux. La société MG INDUSTRIES s'est portée acquéreur de l'outil de production (fours), des bâtiments et du stock de calcium restant puis a été placé en liquidation judiciaire le 25 mai 2012. En l'absence de responsable solvable, les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, près de 612T de déchets dangereux dont déchets hydroréactifs ont été évacués et éliminés dans les filières agréées. La mise en sécurité du site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;Non renseigné;PACA;5;936312,3;1979628,6;Terminée;
MICROSURFACES;Gestion et élimination de déchets, Investigations environnementales;Argenteuil;95018;Traitement de surface, Revêtements, Application peintures;La société Microsurfaces (traitement de surfaces) était une installation soumise à  autorisation. Elle a été placée en liquidation judiciaire le 22/12/1997, elle a cessé ses activités laissant le site en l'état. La liquidation a été clôturée fin 2003.;Non renseigné;non renseigné;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 08 janvier 2002 et du 19 septembre 2003 qui chargeaient l'ADEME de l'évacuation et élimination des déchets industriels et spéciaux présents sur le site et du contrôle de la qualité des eaux souterraines.;;La société Microsurfaces (traitement de surfaces) était une installation soumise à  autorisation. Elle a été placée en liquidation judiciaire le 22/12/1997, elle a cessé ses activités laissant le site en l'état. La liquidation a été clôturée fin 2003. En l'absence de responsable solvable, les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, 40T de déchets industriels et spéciaux ont été évacués et éliminés dans les filières agréées. Les investigations sur les eaux souterraines n'ont pas démontré d'impacts liés au site. La mise en sécurité de ce site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;Non renseigné;Ile-de-France;95;591451,8;2437414,8;Terminée;
MIM;Gestion et élimination de déchets, Investigations environnementales;Merten;57460;Traitement de surface, Revêtements, Application peintures;Atelier de traitement de surface implanté implanté près du ruisseau le Grossbach. Une partie du site la plus ancienne a été endommagée à  plusieurs reprises lors de nombreux épisodes de débordement du Grossbach. Les dégâts causés par ces inondations et leur caractère répétitif ont abouti à  l'abandon de cette partie de l'usine. La société a été placée en liquidation judiciaire en avril 2013;31000;8020;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 06 août 2015 qui confiait à  l'agence des opérations d'évacuation et élimination des déchets abandonnés sur le site et le contrôle de la qualité des eaux souterraines et eaux superficielles.;0004_101- 0004_138- 0004_147- 0004_148- 0004_149- 0004_150- 0005_348- 0005_408- 0005_409- 0005_410- 0005_452- 0005_453;Atelier de traitement de surface implanté implanté près du ruisseau le Grossbach.Les dégâts causés par ces inondations et leur caractère répétitif ont abouti à  l'abandon de cette partie de l'usine. La société a été placée en liquidation judiciaire en avril 2013. En l'absence de responsable solvable, les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, 938T de déchets ont été évacués et éliminés dans les filières agréées. Les investigations environnementales n'ont montré que des impacts limités du site sur les eaux souterraines et sédiments. La mise en sécurité de ce site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;Non renseigné;Grand-Est;57;915137,7;2480588,9;Terminée;
MINES DE BOUXWILLER (SOCIETE DES);Investigations environnementales, Surveillance des milieux;Laneuveville-devant-Nancy;54300;Substances composés chimiques (Extraction, Synthèse);La société a exploité une usine chimique dont les installations ont servi à  épurer les résidus des usines à  gaz pour en extraire de l'ammoniaque, des produits cyanurés utilisés en teinture (ferrocyanures = bleu de prusse) et du soufre. Elle aurait été mise en service un peu avant 1870 et ses fondateurs auraient fui le rattachement à  l'Allemagne. L'usine aurait été désaffectée en 1922 et la société aurait cessé d'exister en 1958 laissant le site en l'état.;49400;non renseigné;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 26 février 2010 qui confiait à  l'agence des investigations environnementales et la surveillance de la qualité des eaux souterraines.;;La société a exploité une usine chimique dont les installations ont servi à  épurer les résidus des usines à  gaz pour en extraire de l'ammoniaque, des produits cyanurés utilisés en teinture et du soufre. L'usine aurait été désaffectée en 1922 et la société aurait cessé d'exister en 1958 laissant le site en l'état. En l'absence de responsable solvable, les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre des investigations et une surveillance de la qualité des eaux souterraines ont été engagées et montrent un impacts des eaux souterraines par les anciennes activités. Ces impacts ne remettent pas en cause les usages constatés. La mise en sécurité de ce site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;Non renseigné;Grand-Est;54;888806,3;2411988,9;Terminée;
MINES DE LA CROIX DE PALLIERES;non renseigné;Saint-Félix-de-Pallieres;30252;Minerais et matière minérale (Extraction, Production, Transformation);Le site est implanté sur le territoire de 4 communes comprenant Saint-Felix-de-pallieres, Thoiras, Tornac et Anduze. Il engloble un ensemble d'anciennes concessions minières et installations industrielles connexes (traitement des minerais extraits) exploités dans le cadre de la ocncession de la Croix-de-Pallieres (Zinc et Plomb) de Pallieres et Gravouillere (pyrite) et de Valleraube (pyrite) usuellement qualifiée de mine de Saint-Joseph. Le site est concerné par 2 bassins versants et intègre les abords de 2 ruisseaux Aiguesmortes et Palleyrolle jusqu'à  leur débouché.;non connue;non connue;;;;;Non connu;Occitanie;30;728413,8;1893864,3;En cours;
MINES DE LA CROIX DE PALLIERES;Travaux, Dépollution et Maîtrise des transferts;Tornac;30330;Minerais et matière minérale (Extraction, Production, Transformation);"Par courrier en date du 18 juillet 2011, la DGPR a validé le lancement d'une démarche IEM concernant l'ancienne exploitation minière et industrielle de minerais de zinc, de plomb argentifère et autre métaux, le fer excepté, dite de la Croix-de-Pallières.En cours d'étude, il s'est avéré nécessaire d'étendre le périmètre d'investigation sur différents secteurs de la commune de Tornac et notamment au lieu dit ""le petit-Drux"" oà¹ se trouve un gîte rural ainsi qu'un élevage d'animaux.";22680;350;La mission de l'ADEME est encadrée par arrêté préfectoral de Travaux, Dépollution et Maîtrise des transferts d'office (APTO 23/09/2019) confiant à  l'agence diverses actions veillant à  assurer la compatibilité des usages et la qualité des milieux sur les terrains considérés et leur mise en sécurité.;000AC80;Une démarche d'Interprétation de l'Etat des Milieux (investigations environnementales) a été engagée au regard de l'ancienne exploitation minière et industrielle de minerais de zinc, de plomb argentifère et autres métaux de la Croix-de-Palières. En cours d'étude il s'est avéré nécessaire d'étendre le périmètre d'investigation sur différents secteurs de la commune de Tornac. Les investigations engagées ont apporté la conclusion d'une incompatibilité d'usage au regard de la qualité de l'environnement au droit d'une zone habitée. En accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de divers travaux dans cette zone conformément à  la démarche de mise en sécurité de site à  responsable défaillant.;;non renseigné;Occitanie;30;730058,5;1893029,1;En cours;
MINORE;Gestion et élimination de déchets;Bouconvillers;60090;Amiante et Fibres minérales (Fabrication produits);"La société était spécialisée dans le secteur de la ""dépollution"" et les autres services de gestion des déchets. Plus précisément, elle exerà§ait des activités de désamiantage, de transit, regroupement et de tri de déchets amiantés. L'exploitation du site a été menée sans les autorisations préfectorales requises au regard des ICPE. La société a été mise en liquidation judiciaire en mars 2011. ";6230;1500;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 27 novembre 2014 qui confiait à  l'agence l'évacuation et élimination de déchets de type fibrociment et des huiles aux PCB;0000D116 à  000D118;"La société était spécialisée dans le secteur de la ""dépollution"" et les autres services de gestion des déchets. Plus précisément, elle exerà§ait des activités de désamiantage, de transit, regroupement et de tri de déchets amiantés. L'exploitation du site a été menée sans les autorisations préfectorales requises au regard des ICPE. La société a été mise en liquidation judiciaire en mars 2011. En l'absence de responsable solvable, les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, 101T de déchets dangereux ont été évacués et éliminés dans les filières agréées. La mise en sécurité du site est terminée.";;Non renseigné;Hauts-de-France;60;568219,9;2464297,3;Terminée;
MUELLER EUROPE;Investigations environnementales, Travaux, Dépollution et Maîtrise des transferts, Surveillance des milieux;Longueville;77260;Traitement de surface, Revêtements, Application peintures;La société MUELLER EUROPE fabriquait des tubes en cuivre, en laiton, en maillechort et en plastique PVC depuis plus de cent ans. Elle a cessé son activité en mars 2003. Des investigations réalisées sur le site entre 1997 et 2006 ont mis en évidence une pollution aux solvants chlorés, aux hydrocarbures et aux métaux dans les sols, les gaz du sol et les eaux souterraines. Cette pollution est liée aux activités exercées par la société MUELLER EUROPE sur le site. L'ensemble immobilier industriel a fait l'objet d'une vente en septembre 2006. Depuis cette date, le site est sans usage.;50500;25800;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 17 février 2010 et en date du 23 mars 2012 qui confiaient à  l'agence des missions d'investigations environnementales et de surveillance de la qualité des eaux souterraines.;000AI355;La société MUELLER EUROPE fabriquait des tubes en cuivre, en laiton, en maillechort et en plastique PVC depuis plus de cent ans. Elle a cessé son activité en mars 2003.  Des investigations réalisées sur le site entre 1997 et 2006 ont mis en évidence une pollution aux solvants chlorés, aux hydrocarbures et aux métaux dans les sols, les gaz du sol et les eaux souterraines. Cette pollution est liée aux activités exercées par la société MUELLER EUROPE sur le site. L'ensemble immobilier industriel a fait l'objet d'une vente en septembre 2006. Depuis cette date, le site est sans usage. En l'absence de responsable solvable, les actions de l'administration n'ont pas permis de finaliser la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre des investigations environnementales ont mis en évidence des impacts de pollution principalement au droit du site ne remettant pas en cause les usages constatés en proximité (contexte de restriction d'usage des eaux souterraines). La mise en sécurité de ce site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;Non renseigné;Ile-de-France;77;667260,3;2390907,5;En cours;
MUNSCH GULDEN;Gestion et élimination de déchets, Investigations environnementales, Travaux, Dépollution et Maîtrise des transferts, Surveillance des milieux;Wingen-sur-Moder;67538;Traitement de surface, Revêtements, Application peintures;L'établissement existe depuis les années 1930. Le site MUNSCH-GULDEN exploitait un atelier de traitement de surface et est à  l'origine d'une pollution par des substances chlorées et, dans une moindre mesure, des métaux affectant les sols au droit du site et se propageant par le biais des eaux souterraines en aval de ce dernier. Un arrêté de restriction des usages de l'eau a été mis en place. La société a été placée en liquidation judiciaire en décembre 2012.;2900;2000;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 22 décembre 2014 et du 19/09/2016 qui confiaient à  l'agence les opérations d'évacuation et élimination de déchets dangereux, la réalisation d'investigations environnementales, la mise en oeuvre d'action de limitation des transferts des pollution en place.;0006_35;Le site MUNSCH-GULDEN exploitait un atelier de traitement de surface et est à  l'origine d'une pollution par des substances chlorées. La société a été placée en liquidation judiciaire en décembre 2012. En l'absence de responsable solvable, les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, 87T de déchets ont été évacués et éliminés en filière agréée. Des investigations environnementales ont été engagées et des travaux de maîtrise de transfert de pollution doivent être menés. Des actions sont toujours en cours sur ce site.;;Non renseigné;Grand-Est;67;970000,8;2447613,9;En cours;
MUZELIER;Gestion et élimination de déchets, Investigations environnementales;Poliènas;38310;Dépôt (déchets divers);Le site occupe une superficie d'environ 6 800 mÂ² sur la commune de Polienas, dans le département de l'Isère.  Le ruisseau de Montenas s'écoule en bordure sud du site.  Une nappe d'eau souterraines se situe à  environ 2 m de profondeur. Elle s'écoule en direction du sud-est. Cette nappe est exploitée par des captages pour l'alimentation en eau potable (AEP) situés à  l'ouest du site. Une conduite d'AEP passe sous la parcelle A 788. Le site est détenu par M. MUZELIER. Il accueille les déchets de remblaiements de la société MARTIN TP. Cette activité n'a pas été déclarée à  l'Inspection des Installations Classées. Le 13/07/93, l'Administration a été alertée par la gendarmerie de Tullins de l'existence d'un dépôt illégal de déchets sur la commune de Poliénas. Le site est clôturé. ;6640;0;;000A788- 000A811;;;Non renseigné;Auvergne-Rhone-Alpes;38;845070,5;2033868,8;Terminée;
NESTOR;Gestion et élimination de déchets;Villeneuve d'Olmes;63458;Textile, teinturerie (production, préparation);"La société avait pour activité l'ennoblissement textile (teinture et apprêt des tissus) et était menée dans une usine construite en 1976 présentant une superficie de 9 Ha en bordure de la rivière Touyre. L'activité était encadrée par l'AP du 12 janvier 2011. La société a été mise en liquidation judiciaire le 3 septembre 2012. Le diagnostic mené sur le site le classait comme ""à  surveiller"". A noter qu'il disposer d'un lagunage (exploité de 1980 à  1985 pour le traitement des effluents du site). Celui-ci avait été classé comme ""banalisable"" par le diagnostic.";56450;17500;Non intervention SRD;000B1992 et 000B1993;;;Non connu;Occitanie;9;558982,8;1768126,8;Non intervention SRD;
NICKEL CHROME;Gestion et élimination de déchets, Investigations environnementales;Nogent;52353;Traitement de surface, Revêtements, Application peintures;La société Nickel Chrome était spécialisée dans la fabrication d'instruments de chirurgie. Les pièces fabriquées subissaient des traitements de surface (nickelage, chromage). La société a été placée en liquidation judiciaire le 14 novembre 1994 et a cessé ses activités à  cette date.;195;105;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 06 juin 1995 et du 30 janvier 1997 qui confiaient à  l'agence des opérations d'évacuation de déchets présentant un risque de pollution de l'environnement et de réalisation d'investigations environnementales.;000AC_225;La société Nickel Chrome était spécialisée dans la fabrication d'instruments de chirurgie. Les pièces fabriquées subissaient des traitements de surface (nickelage, chromage). La société a été placée en liquidation judiciaire le 14 novembre 1994 et a cessé ses activités à  cette date. En l'absence de responsable solvable, les actions de l'administration n'ont pas permis la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre des investigations environnementales ont été menées. La mise en sécurité de ce site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;Non renseigné;Grand-Est;52;824316,3;2341141,7;Terminée;
NICOSOFRA;Gestion et élimination de déchets, Investigations environnementales;Courcouronnes;91182;Traitement de surface, Revêtements, Application peintures;Depuis 1982, la société NICOSOFRA  était spécialisée dans la conception, fabrication et commercialisation de circuits imprimés (rigides â€“classiques, double face et multicouches, semi-rigides et souples). Elle employait une centaine de personnes en 2008.;9650;4180;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 17 septembre 2010 et en date du 17 février 2012 qui confiaient à  l'agence des opérations d'évacuation et élimination de déchets ainsi que des investigations environnementales sur les eaux souterraines.;000AE6;Depuis 1982, la société NICOSOFRA  était spécialisée dans la conception, fabrication et commercialisation de circuits imprimés (rigides â€“classiques, double face et multicouches, semi-rigides et souples). Elle employait une centaine de personnes en 2008. La société a été placée en liquidation judiciaire. En l'absence de responsable solvable, les actions de l'administration à  l'encontre des responsables n'ont pas permis d'assurer la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, 268T de déchets dangereux au regard de la réglementation ont été évacués et éliminés dans les filières agréées. Les investigations environnementales menées sur les eaux souterraines ont montré des impacts liés à  l'ancienne activité industrielle ne remettant pas en cause les usages constatés aux alentours du site. La mise en sécurité de ce site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;Activités tertiaires et activités industrielles ou artisanales non ICPE;Ile-de-France;91;605099,8;2403272,4;Terminée;
NOUVELLES TANNERIES DU FLEURIAIS;Gestion et élimination de déchets, investigations environnementales, Travaux, Dépollution et Maîtrise des transferts;Mortagne-sur-Sèvre;85151;Tannerie, Mégisserie (production, préparation);La société des Tanneries de Fleuriais est en situation de liquidation judiciaire depuis le 7 juillet 2006. Ce site industriel a un état de vétusté avancé avec des produits stockés il est situé en zone inondable dans le PPRI de Mortagne sur Sèvre. les visites d'inspection dont celle conjointe avec l'ADEME ont mis en évidence la présence d'effluents et boues contenus dans la filiere de traitements , de boues stockés dans des conteneurs, de déchets issus d'un incendie de batiments, de zones pollués par des écoulements d'huile, la présence de bidons de déchets huileux, des transformateurs électriques, des cuves à  fuel, des futs de liquides aqueux, ainsi que des déchets banals. Il est par ailleurs à  craindre une pollution des sols et des eaux souterraines;42780;8600;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office du 17 mars 2011 qui confiait à  l'agence l'évacuation et élimination des déchets dangereux et banals dont intervention sur cuve et sur les bassins de la station d'épuration des effluents. Une mission d'investigations environnementales sur les sols et eaux souterraines était également demandée à  l'agence.;000AI138 000AI139 000AI140 000AI141 000AI142 000AI267 000AI270;La Tannerie du Fleuriais a exercé une activité de tannage des peaux de bovins depuis 1962 jusque 2006 date de la liquidation judiciaire. Cette activité consistait à  produire du cuir destinés aux usines de chaussures et de maroquinerie du choletais. En l'absence de responsable solvable, les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, 127T de déchets dont 67T de déchets considérés comme dangereux ont été évacués et éliminés dans les filières agrées et 1430T d'effluents de la station d'épuration ont été traités.;;Abandon;Pays-de-la-Loire;85;349397,9;2225943,2;Terminée;
NSP TEINTURERIES RICHARD;Investigations environnementales;Nort-sur-Erdre;44110;Textile, Teinturerie (production, préparation);L'activité principale de la Teinturerie Richard résidait dans le nettoyage à  sec et la teinturerie industrielle. Le site existe depuis 1898 et occupe une superficie de 661 m2. A noter que le site a abrité une minoterie jusqu'en 1932. Les activités de la teinturerie étaient réglementées par le récépissé de déclaration du 22 février 1973. Le site a fait l'objet de la délivrance d'un récépissé de déclaration en septembre 2001 pour signifier un changement d'exploitant (remplacement de la Teinturerie RICHARD par la société NSP ATLANTIQUE pour l'exploitation d'un pressing). La société NSPO ATLANTIQUE a déposé le bilan. La clôture de la liquidation judicaire a été prononcée le 23 mars 2006. Des diagnostics ont été menés sur le site. Les résultats ont mis en évidence une pollution du site (sols, eaux souterraines, gaz de sol) par des hydrocarbures, BTEX, COHV, HAP,PCB et par certains métaux lourds. Monsieur RICHARD, propriétaire du site, a engagé des travaux de mise en sécurité du site.Toutefois, la mise en sécurité du site ne permet pas de garantir la protection des populations avoisinantes.;19580;650;La mission de l'ADEME était encadrée par arrêté préfectoral en date du 11 juin 2013 et confiait à  l'agence la réalisation d'un diagnostic environnemental selon la méthodologie d'Interprétation de l'état des Milieux (IEM);000AW27;L'activité principale de la Teinturerie Richard résidait dans le nettoyage à  sec et la teinturerie industrielle. Le site a fait l'objet d'un changement d'exploitant en septembre 2001 (remplacement de la Teinturerie RICHARD par la société NSP ATLANTIQUE pour l'exploitation d'un pressing). La société NSP ATLANTIQUE a déposé le bilan. La clôture de la liquidation judicaire a été prononcée le 23 mars 2006. En l'absence de responsable solvable les actions de l'administration n'ont pas permis d'assurer une mise en sécurité totale du site. De fait, la préfecture a chargé l'ADEME de cette mise en sécurité.;;non renseigné;Pays-de-la-Loire;44;311149,6;2278111,7;Terminée;
OLIA FRANCE;Investigations environnementales, Travaux, Dépollution et Maîtrise des transferts;Chenoves;21166;Amiante et Fibres minérales (Fabrication produits);La société OLIA FRANCE INDUSTRIE a produit des fibres minérales de type laine de roche sur la zone industrielle de Chenove (terrain d'1 ha environ). Elle a cessé son activité en 1990. Divers matériels sont restés en place dont un transformateur électrique imprégné de PCB qui n'avait pas été déclaré à  la préfecture. Ce transformateur a fait l'objet d'un acte de vandalisme en août 1996. la Société SAS ETOILE 21 (concession automobile), qui a racheté le terrain à  la Société DUC et PRENEUF INTERNATIONAL, occupe à  ce jour le site.;non connue;non connue;25/08/1998 - (à  collecter) - l'ADEME était chargée des travaux suivants : la démolition des bâtiments existants, l'excavation et le traitement par solvant de terres souillées par les PCB, la mise en place de piézomètres de contrôle. 26/10/1998 complémentaire - (à  collecter retrouver) - la démolition totale des bâtiments, la réalisation d'une étude de la qualité des eaux de la nappe, l'analyse du risque lors de l'enlèvement des terres souillées, la désignation d'un coordinateur hygiène et sécurité sur le chantier.;000AS119 et 000AS143;;;Non connu;Bourgogne-Franche-Comté;21;802630,5;2257264,5;Terminée;
OLIA France;Gestion et élimination de déchets, Investigations environnementales, Travaux, Dépollution et Maîtrise des transferts;Chenoves;21166;Amiante et Fibres minérales (Fabrication produits);La société OLIA FRANCE INDUSTRIE a produit des fibres minérales de type laine de roche. Elle a cessé son activité en 1990. Divers matériels sont restés en place dont un transformateur électrique imprégné de PCB qui n'avait pas été déclaré à  la préfecture. Ce transformateur a fait l'objet d'un acte de vandalisme en août 1996.;10850;4500;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 25 août 1998 qui confiait à  l'agence la gestion de déchets et terres souillées par les PCB et la démolition de bâtiments.;000AS119- 000AS143;La société OLIA FRANCE INDUSTRIE a produit des fibres minérales de type laine de roche. Elle a cessé son activité en 1990. En l'absence de responsables, les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement, la préfecture a chargé l'agence de cette mise en sécurité qui est aujourd'hui terminée L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;Non renseigné;Bourgogne-Franche-Comté;21;802630,5;2257264,5;Terminée;
OLIGO MINERAUX;non renseigné;Le Grand-Pressigny;37113;Agroalimentaire et Agriculture (Production, Fabrication, Transformation);La société TOURAIN ENGRAIS avait été autorisée à  fabriquer et préparer des engrais sur le territoire de la commune. OLIGO MINERAUX a été autorisée à  poursuivre ces activités. A la suite de la cessation d'activité, la commune a acheté les bâtiments ainsi que le foncier de l'ancienne fabrique. Compte tenu des produits utilisés par cette société (oxydes de cuivre, oxyde de zinc, magnésie) la commune a fait procéder à  un diagnostic qui a révélé une pollution de surface des sols. ;;;;;;;;Centre-Val de Loire;37;;;Terminée;
